circ_mv,turnover,amount,first_seal_minutes,is_early_seal,open_times,date,symbol,is_limit_up,label
96352742762.1,1.3214973211288452,1223813072.0,816,0,1,20260303,000301,1,0
89882501120.0,3.37995,3031830016.0,570,1,1,20251106,000338,1,0
32779100160.0,12.3225,3976260096.0,594,1,1,20260119,000400,1,0
3643249920.0,1.00608,36654100.0,565,1,0,20251111,000407,1,1
4011079936.0,0.528672,21205500.0,565,1,0,20251112,000407,1,1
4413940224.0,0.930614,41076800.0,565,1,0,20251113,000407,1,1
4851829760.0,1.23188,59768600.0,565,1,0,20251114,000407,1,1
5333510144.0,0.967313,51591800.0,565,1,0,20251117,000407,1,1
5867740160.0,32.5184,1907120000.0,565,1,5,20251118,000407,1,0
4457730048.0,13.9983,593891008.0,783,0,0,20251222,000407,1,0
4659160064.0,14.6548,665404032.0,602,0,0,20260122,000407,1,0
5132083762.320001,3.2537097930908203,166983108.0,565,1,0,20260303,000407,1,0
7667850240.0,4.06699,310835008.0,570,1,0,20260114,000409,1,0
13161600000.0,5.66811,734825024.0,602,0,4,20251022,000410,1,0
3990060032.0,4.43835,172024000.0,671,0,0,20251126,000411,1,0
4257959936.0,6.52957,268384992.0,623,0,0,20251218,000411,1,0
4381879808.0,12.6757,546753024.0,605,0,10,20251230,000411,1,0
5429819904.0,7.96295,423696000.0,592,1,0,20251013,000417,1,0
6489299968.0,12.4905,780713984.0,795,0,0,20251219,000417,1,0
7174839808.0,12.4476,859985984.0,783,0,0,20260120,000417,1,0
3832260096.0,11.4777,427110016.0,874,0,2,20251219,000419,1,0
11429799936.0,10.1681,1157350016.0,571,1,1,20251229,000420,1,0
4209590016.0,5.6801,236959008.0,571,1,0,20251028,000421,1,0
4439310375.81,10.751571655273438,462525792.0,790,0,0,20260303,000421,1,0
15369900032.0,5.96771,876179968.0,896,0,0,20250929,000422,1,0
17929763968.8,7.334986209869385,1283300176.0,799,0,0,20260224,000422,1,0
55492898816.0,4.34968,2337939968.0,800,0,2,20250929,000426,1,0
64226902016.0,4.19884,2644879872.0,634,0,3,20251009,000426,1,0
59469398016.0,5.99979,3506639872.0,620,0,1,20251113,000426,1,0
69517000704.0,6.0724,4089779968.0,869,0,1,20260105,000426,1,0
113026998272.0,4.46092,5017990144.0,573,1,21,20260126,000426,1,0
10330488260.0,2.904199123,296946656.0,573,1,0,20260109,000503,1,1
11368399872.0,10.468,1173779968.0,565,1,2,20260112,000503,1,0
5634509824.0,5.89177,320609984.0,571,1,0,20251124,000505,1,0
5293020160.0,14.0249,716393984.0,654,0,1,20251210,000505,1,0
5172870144.0,13.3631,676115968.0,587,1,12,20251222,000505,1,0
5640829952.0,7.31483,400388992.0,585,1,0,20251226,000505,1,0
13557300224.0,8.91586,1161980032.0,854,0,0,20251015,000506,1,0
14829500416.0,7.14152,1029710016.0,810,0,2,20260119,000506,1,0
17949499392.0,11.1184,1914240000.0,663,0,13,20260121,000506,1,0
19899600896.0,9.15158,1785760000.0,613,0,19,20260126,000506,1,1
21886699520.0,14.2638,3024590080.0,598,1,10,20260127,000506,1,1
24078200832.0,7.6738,1821240064.0,584,1,1,20260128,000506,1,1
26483200000.0,17.9267,4610039808.0,565,1,9,20260129,000506,1,0
20738026439.13,12.60499095916748,2483445248.0,871,0,0,20260302,000506,1,0
3734469888.0,7.80384,285544992.0,839,0,8,20250922,000509,1,0
3702279936.0,7.40216,268032992.0,570,1,1,20251021,000509,1,1
4077870080.0,8.62878,336752992.0,607,0,0,20251022,000509,1,0
4324689920.0,2.76254,116329000.0,585,1,0,20251126,000509,1,0
3895443053.04,4.389638423919678,169414456.0,577,1,2,20260305,000509,1,1
4281767983.92,15.51398468017578,631275856.0,790,0,8,20260306,000509,1,0
4258789888.0,6.28556,262223008.0,584,1,0,20251125,000510,1,1
4683449856.0,3.46483,162272000.0,570,1,0,20251126,000510,1,1
5150580224.0,15.9336,819068992.0,565,1,5,20251127,000510,1,0
6084850176.0,6.0339,361409984.0,570,1,1,20251204,000510,1,0
5927119872.0,6.15161,359411008.0,571,1,0,20251212,000510,1,0
6418509824.0,10.6155,662825984.0,630,0,0,20251219,000510,1,0
7231439872.0,10.8311,745664000.0,805,0,0,20251226,000510,1,0
8092910080.0,12.2091,952894976.0,673,0,0,20260106,000510,1,0
10913899520.0,14.5704,1518780032.0,804,0,3,20260121,000510,1,0
9997840384.0,7.6747,741318016.0,620,0,0,20260211,000510,1,1
9997836184.16,7.674702167510986,741318320.0,620,0,0,20260212,000510,1,0
12382028914.97,10.85008430480957,1297430928.0,673,0,2,20260227,000510,1,1
13619625141.65,10.768142700195312,1447612288.0,580,1,7,20260302,000510,1,0
4817930240.0,4.7159,221876000.0,597,1,0,20250924,000514,1,0
4902309888.0,10.8415,511009984.0,878,0,0,20251106,000514,1,1
5391699968.0,13.1531,703062016.0,571,1,3,20251107,000514,1,0
10406899712.0,2.62036,267452992.0,582,1,0,20260105,000516,1,1
11443200000.0,2.1555,246658000.0,565,1,0,20260106,000516,1,0
12413299712.0,7.1704,854008000.0,605,0,0,20260113,000516,1,1
13648100352.0,20.2416,2722240000.0,579,1,20,20260114,000516,1,0
11046329907.69,3.056239366531372,331978768.0,577,1,0,20260306,000516,1,0
