circ_mv,turnover,amount,first_seal_minutes,is_early_seal,open_times,date,symbol,is_limit_up,label
8848476337.67,6.447632789611816,561365280,637,0,4,20260114,605222,1,0
26046380800.0,4.967820167541504,1196719344,884,0,0,20260114,605255,1,0
4737600000.000001,6.228392124176025,284512160,881,0,0,20260114,605287,1,1
5210800000.0,8.870543479919434,456696816,571,1,2,20260115,605287,1,0
7795200000.0,8.602575302124023,645773984,828,0,0,20260115,605580,1,0
5091848405.16,15.634613990783691,761037712,791,0,9,20260114,688080,1,0
3754948227.52,24.26425552368164,852734000,885,0,3,20260114,688292,1,0
14563204192.8,6.498756408691406,917526496,575,1,1,20260114,688365,1,0
1559181348.0,20.60727882385254,307171344,656,0,3,20260114,688479,1,0
3159674543.38,54.367286682128906,1558165152,780,0,1,20260114,920021,1,0
2344567818.45,41.095252990722656,884377280,677,0,6,20260114,920169,1,0
2036473072.0,32.66335678100586,626794928,629,0,5,20260114,920227,1,0
