序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times,date
16,002506,协鑫集成,10.021322250366211,5.16,3764114320,30157265389.32,30187633367.04,12.570905685424805,149649871,093112,100057,2,1/1,1,光伏设备,002506,协鑫集成,1,10.021322250366211,30157265389.32,12.570905685424805,3764114320,093112,2,20260303
17,301302,华如科技,19.986541748046875,35.66,944418720,4956383400.0,5558145899.999999,19.083974838256836,129603595,093115,095254,1,2/2,2,军工电子,301302,华如科技,2,19.986541748046875,4956383400.0,19.083974838256836,944418720,093115,1,20260303
18,600108,亚盛集团,10.068650245666504,4.81,2249277600,9364661732.009998,9364661727.199999,24.091449737548828,22404499,093155,144540,15,3/3,3,种植业,600108,亚盛集团,3,10.068650245666504,9364661732.009998,24.091449737548828,2249277600,093155,15,20260303
19,001269,欧晶科技,10.01690673828125,26.03,163546919,5008473583.58,5008473583.58,3.28853440284729,55848380,093200,093200,0,1/1,1,光伏设备,001269,欧晶科技,1,10.01690673828125,5008473583.58,3.28853440284729,163546919,093200,0,20260303
20,603353,和顺石油,9.991368293762207,50.97,981540688,8686205460.0,8762048820.0,11.463383674621582,29876575,093208,102308,9,3/3,3,炼化及贸,603353,和顺石油,3,9.991368293762207,8686205460.0,11.463383674621582,981540688,093208,9,20260303
21,600617,国新能源,10.119048118591309,3.7,218618125,6569507949.3,7138009571.200001,3.3618714809417725,74834868,093232,093305,1,1/1,1,燃气Ⅱ,600617,国新能源,1,10.119048118591309,6569507949.3,3.3618714809417725,218618125,093232,1,20260303
22,600339,中油工程,10.085836410522461,5.13,604490496,28641546526.23,28641546777.6,2.1351609230041504,203106390,093340,093340,0,6/3,2,油服工程,600339,中油工程,2,10.085836410522461,28641546526.23,2.1351609230041504,604490496,093340,0,20260303
23,605169,洪通燃气,10.021474838256836,15.37,161776130,4347865600.0,4347865600.0,3.783005475997925,44408909,093520,093520,0,1/1,1,燃气Ⅱ,605169,洪通燃气,1,10.021474838256836,4347865600.0,3.783005475997925,161776130,093520,0,20260303
24,603778,国晟科技,10.0,15.51,1852711776,9970714272.42,10184519405.28,18.733501434326172,22042812,093616,144243,12,1/1,1,光伏设备,603778,国晟科技,1,10.0,9970714272.42,18.733501434326172,1852711776,093616,12,20260303
25,603616,韩建河山,9.959623336791992,8.17,198190600,3139673810.0,3197068060.0,6.450939655303955,96010490,093629,093629,0,1/1,1,水泥,603616,韩建河山,1,9.959623336791992,3139673810.0,6.450939655303955,198190600,093629,0,20260303
