序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times,date
15,002339,积成电子,10.026385307312012,12.51,456271344,5989707986.04,6306194322.72,7.816102027893066,110368849,093936,093936,0,1/1,1,电网设备,002339,积成电子,1,10.026385307312012,5989707986.04,7.816102027893066,456271344,093936,0,20260318
16,605286,同力天启,9.993579864501953,51.4,178336821,8635200000.0,8635200000.0,2.1180951595306396,150422100,094134,094134,0,1/1,1,专用设备,605286,同力天启,1,9.993579864501953,8635200000.0,2.1180951595306396,178336821,094134,0,20260318
17,600307,酒钢宏兴,10.0,2.42,1403473104,15157324966.08,15157325004.8,9.501340866088867,70799469,094152,100422,2,4/3,2,普钢,600307,酒钢宏兴,2,10.0,15157324966.08,9.501340866088867,1403473104,094152,2,20260318
18,002445,中南文化,10.0,4.07,1831309648,9631170560.11,9672792671.52,19.357664108276367,83606115,094218,095115,6,8/6,1,通用设备,002445,中南文化,1,10.0,9631170560.11,19.357664108276367,1831309648,094218,6,20260318
19,603803,瑞斯康达,9.966499328613281,13.13,1023640144,5578721103.410001,5578721037.76,18.736244201660156,32091033,094244,101614,3,7/4,1,通信设备,603803,瑞斯康达,1,9.966499328613281,5578721103.410001,18.736244201660156,1023640144,094244,3,20260318
20,605058,澳弘电子,10.012399673461914,35.49,359213456,5072370985.5,5072370985.5,7.209508419036865,48337380,094341,110059,2,1/1,1,元件,605058,澳弘电子,1,10.012399673461914,5072370985.5,7.209508419036865,359213456,094341,2,20260318
21,603168,莎普爱思,10.014103889465332,7.8,231771070,2905609239.0,2918186793.6,8.119166374206543,68401920,094515,094515,0,1/1,1,化学制药,603168,莎普爱思,1,10.014103889465332,2905609239.0,8.119166374206543,231771070,094515,0,20260318
22,603601,再升科技,10.0,11.77,2414004080,13445353228.67,13445353287.52,18.19329071044922,118489767,094515,100657,3,1/1,1,专业工程,603601,再升科技,1,10.0,13445353228.67,18.19329071044922,2414004080,094515,3,20260318
23,603098,森特股份,10.012674331665039,17.36,529513136,9353567618.08,9369191722.24,5.771444797515869,27128836,094648,103506,1,1/1,1,专业工程,603098,森特股份,1,10.012674331665039,9353567618.08,5.771444797515869,529513136,094648,1,20260318
24,603316,诚邦股份,10.0,16.39,306905808,4331286960.0,4331286960.0,7.25063943862915,53110156,094942,095727,1,1/1,1,基础建设,603316,诚邦股份,1,10.0,4331286960.0,7.25063943862915,306905808,094942,1,20260318
