序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times,date
43,300936,中英科技,20.0,53.4,419449008,2534378685.0,4015680000.0,17.93043327331543,213071340,103212,103212,0,1/1,1,元件,300936,中英科技,1,20.0,2534378685.0,17.93043327331543,419449008,103212,0,20260302
44,300191,潜能恒信,19.99457550048828,44.23,1491875248,9783454850.0,14153599999.999998,15.745814323425293,293063335,103300,103300,0,1/1,1,油服工程,300191,潜能恒信,1,19.99457550048828,9783454850.0,15.745814323425293,1491875248,103300,0,20260302
45,000637,茂化实华,9.93914794921875,5.42,202634553,1976050998.1,2817724451.2,10.631007194519043,204968215,103500,103500,0,1/1,1,炼化及贸,000637,茂化实华,1,9.93914794921875,1976050998.1,10.631007194519043,202634553,103500,0,20260302
46,601869,长飞光纤,9.999567985534668,254.44,3490305296,103388720614.16,210652174661.76,3.5024874210357666,413825795,104439,104439,0,1/1,1,通信设备,601869,长飞光纤,1,9.999567985534668,103388720614.16,3.5024874210357666,3490305296,104439,0,20260302
47,600968,海油发展,10.043667793273926,5.04,1331356144,51232125162.96,51232124805.12,2.6420788764953613,95573016,104942,104942,0,1/1,1,油服工程,600968,海油发展,1,10.043667793273926,51232125162.96,2.6420788764953613,1331356144,104942,0,20260302
48,002554,惠博普,9.905660629272461,4.66,909646144,6213972646.5,6215135572.8,15.133623123168945,337686900,105645,105645,0,1/1,1,油服工程,002554,惠博普,1,9.905660629272461,6213972646.5,15.133623123168945,909646144,105645,0,20260302
49,920088,科力股份,29.998106002807617,68.6,766416832,2180197042.7999997,6041704899.999999,36.47858428955078,83039065,110150,110150,0,1/1,1,油服工程,920088,科力股份,1,29.998106002807617,2180197042.7999997,36.47858428955078,766416832,110150,0,20260302
50,600583,海油工程,9.986129760742188,7.93,1970152704,35061343564.0,35061343183.36,5.809158802032471,283414393,110229,110644,2,1/1,1,油服工程,600583,海油工程,1,9.986129760742188,35061343564.0,5.809158802032471,1970152704,110229,2,20260302
51,603727,博迈科,9.994447708129883,19.81,468546400,5580858877.37,5580858936.799999,8.66270923614502,99783386,110256,110256,0,1/1,1,油服工程,603727,博迈科,1,9.994447708129883,5580858877.37,8.66270923614502,468546400,110256,0,20260302
52,301158,德石股份,20.0,31.2,802903072,4571437447.2,4691559912.0,19.034278869628906,562630910,110503,110503,0,1/1,1,专用设备,301158,德石股份,1,20.0,4571437447.2,19.034278869628906,802903072,110503,0,20260302
